country,player_name,club
Czech Republic,Matěj Kovář,PSV Eindhoven
Czech Republic,David Zima,Slavia Prague
Czech Republic,Tomáš Holeš,Slavia Prague
Czech Republic,Robin Hranáč,TSG Hoffenheim
Czech Republic,Vladimír Coufal,TSG Hoffenheim
Czech Republic,Štěpán Chaloupek,Slavia Prague
Czech Republic,Ladislav Krejčí,Wolverhampton Wanderers
Czech Republic,Vladimír Darida,Hradec Králové
Czech Republic,Adam Hložek,TSG Hoffenheim
Czech Republic,Patrik Schick,Bayer Leverkusen
Czech Republic,Jan Kuchta,Sparta Prague
Czech Republic,Lukáš Červ,Viktoria Plzeň
Czech Republic,Mojmír Chytil,Slavia Prague
Czech Republic,David Jurásek,Slavia Prague
Czech Republic,Pavel Šulc,Olympique Lyonnais
Czech Republic,Jindřich Staněk,Slavia Prague
Czech Republic,Lukáš Provod,Slavia Prague
Czech Republic,Michal Sadílek,Slavia Prague
Czech Republic,Tomáš Chorý,Slavia Prague
Czech Republic,Jaroslav Zelený,Sparta Prague
Czech Republic,David Douděra,Slavia Prague
Czech Republic,Tomáš Souček,West Ham United
Czech Republic,Lukáš Horníček,SC Braga
Czech Republic,Alexandr Sojka,Viktoria Plzeň
Czech Republic,Hugo Sochůrek,Sparta Prague
Czech Republic,Denis Višinský,Viktoria Plzeň
Mexico,Raúl Rangel,CD Guadalajara
Mexico,Jorge Sánchez,PAOK
Mexico,César Montes,Lokomotiv Moscow
Mexico,Edson Álvarez,Fenerbahçe
Mexico,Johan Vásquez,Genoa
Mexico,Érik Lira,Cruz Azul
Mexico,Luis Romo,CD Guadalajara
Mexico,Álvaro Fidalgo,Real Betis
Mexico,Raúl Jiménez,Fulham
Mexico,Alexis Vega,Toluca
Mexico,Santiago Giménez,AC Milan
Mexico,Carlos Acevedo,Santos Laguna
Mexico,Guillermo Ochoa,AEL Limassol
Mexico,Armando González,CD Guadalajara
Mexico,Israel Reyes,Club América
Mexico,Julián Quiñones,Al Qadsiah
Mexico,Orbelín Pineda,AEK Athens
Mexico,Obed Vargas,Atlético Madrid
Mexico,Gilberto Mora,Club Tijuana
Mexico,Mateo Chávez,AZ Alkmaar
Mexico,César Huerta,Anderlecht
Mexico,Guillermo Martínez,Pumas UNAM
Mexico,Jesús Gallardo,Toluca
Mexico,Luis Chávez,Dynamo Moscow
Mexico,Roberto Alvarado,CD Guadalajara
Mexico,Brian Gutiérrez,CD Guadalajara
South Africa,Ronwen Williams,Mamelodi Sundowns
South Africa,Ricardo Goss,Mamelodi Sundowns
South Africa,Sipho Chaine,Orlando Pirates
South Africa,Khuliso Mudau,Mamelodi Sundowns
South Africa,Nkosinathi Sibisi,Orlando Pirates
South Africa,Ime Okon,Hannover 96
South Africa,Khulumani Ndamane,Mamelodi Sundowns
South Africa,Aubrey Modiba,Mamelodi Sundowns
South Africa,Samukelo Kabini,Molde
South Africa,Thabang Matuludi,Polokwane City
South Africa,Olwethu Makhanya,Philadelphia Union
South Africa,Bradley Cross,Kaizer Chiefs
South Africa,Mbekezeli Mbokazi,Chicago Fire
South Africa,Teboho Mokoena,Mamelodi Sundowns
South Africa,Thalente Mbatha,Orlando Pirates
South Africa,Sphephelo Sithole,Tondela
South Africa,Jayden Adams,Mamelodi Sundowns
South Africa,Oswin Appollis,Orlando Pirates
South Africa,Iqraam Rayners,Mamelodi Sundowns
South Africa,Tshepang Moremi,Orlando Pirates
South Africa,Relebohile Mofokeng,Orlando Pirates
South Africa,Evidence Makgopa,Orlando Pirates
South Africa,Themba Zwane,Mamelodi Sundowns
South Africa,Lyle Foster,Burnley
South Africa,Thapelo Maseko,AEL Limassol
South Africa,Kamogelo Sebelebele,Orlando Pirates
South Korea,Jo Hyeon-woo,Ulsan HD
South Korea,Kim Seung-gyu,FC Tokyo
South Korea,Song Bum-keun,Jeonbuk Hyundai Motors
South Korea,Kim Min-jae,Bayern Munich
South Korea,Lee Han-beom,FC Midtjylland
South Korea,Lee Gi-hyuk,Gangwon FC
South Korea,Kim Tae-hyeon,Kashima Antlers
South Korea,Park Jin-seob,Zhejiang Professional
South Korea,Lee Tae-seok,Austria Wien
South Korea,Seol Young-woo,Red Star Belgrade
South Korea,Jens Castrop,Borussia Mönchengladbach
South Korea,Kim Moon-hwan,Daejeon Hana Citizen
South Korea,Yang Hyun-jun,Celtic
South Korea,Paik Seung-ho,Birmingham City
South Korea,Hwang In-beom,Feyenoord
South Korea,Kim Jin-gyu,Jeonbuk Hyundai Motors
South Korea,Bae Jun-ho,Stoke City
South Korea,Eom Ji-sung,Swansea City
South Korea,Hwang Hee-chan,Wolverhampton Wanderers
South Korea,Lee Dong-gyeong,Ulsan HD
South Korea,Lee Jae-sung,Mainz 05
South Korea,Lee Kang-in,Paris Saint-Germain
South Korea,Oh Hyeon-gyu,Beşiktaş
South Korea,Son Heung-min,Los Angeles FC
South Korea,Cho Gue-sung,FC Midtjylland
South Korea,Jo Yu-min,Sharjah FC
Bosnia and Herzegovina,Nikola Vasilj,FC St. Pauli
Bosnia and Herzegovina,Martin Zlomislić,HNK Rijeka
Bosnia and Herzegovina,Osman Hadžikić,Slaven Belupo
Bosnia and Herzegovina,Sead Kolašinac,Atalanta
Bosnia and Herzegovina,Amar Dedić,SL Benfica
Bosnia and Herzegovina,Nihad Mujakić,Gaziantep FK
Bosnia and Herzegovina,Nikola Katić,FC Schalke 04
Bosnia and Herzegovina,Tarik Muharemović,Sassuolo
Bosnia and Herzegovina,Stjepan Radeljić,HNK Rijeka
Bosnia and Herzegovina,Dennis Hadžikadunić,Sampdoria
Bosnia and Herzegovina,Nidal Čelić,RC Lens
Bosnia and Herzegovina,Amir Hadžiahmetović,Hull City
Bosnia and Herzegovina,Ivan Šunjić,Pafos FC
Bosnia and Herzegovina,Ivan Bašić,FC Astana
Bosnia and Herzegovina,Dženis Burnić,Karlsruher SC
Bosnia and Herzegovina,Ermin Mahmić,Slovan Liberec
Bosnia and Herzegovina,Benjamin Tahirović,Brøndby IF
Bosnia and Herzegovina,Amar Memić,Viktoria Plzeň
Bosnia and Herzegovina,Armin Gigović,BSC Young Boys
Bosnia and Herzegovina,Kerim Alajbegović,Red Bull Salzburg
Bosnia and Herzegovina,Esmir Bajraktarević,PSV Eindhoven
Bosnia and Herzegovina,Ermedin Demirović,VfB Stuttgart
Bosnia and Herzegovina,Jovo Lukić,Universitatea Cluj
Bosnia and Herzegovina,Samed Baždar,Jagiellonia Białystok
Bosnia and Herzegovina,Haris Tabaković,Borussia Mönchengladbach
Bosnia and Herzegovina,Edin Džeko,FC Schalke 04
Canada,Dayne St. Clair,Inter Miami
Canada,Maxime Crépeau,Orlando City
Canada,Owen Goodman,Barnsley
Canada,Moïse Bombito,OGC Nice
Canada,Derek Cornelius,Rangers
Canada,Alphonso Davies,Bayern Munich
Canada,Luc de Fougerolles,FCV Dender
Canada,Alistair Johnston,Celtic
Canada,Alfie Jones,Middlesbrough
Canada,Richie Laryea,Toronto FC
Canada,Niko Sigur,HNK Hajduk Split
Canada,Joel Waterman,Chicago Fire
Canada,Ali Ahmed,Norwich City
Canada,Tajon Buchanan,Villarreal
Canada,Mathieu Choinière,Los Angeles FC
Canada,Stephen Eustáquio,Los Angeles FC
